ID	Species1	Species2	Habitat	Status	Age	Sex	Province	Country	Lat	Long	Trap	tail.length.mm	hindfoot.mm	ear.length.mm	body.length.mm	body.mass.g	body.mass.Kg	BMI	urea.mg.dL	uric.acid.mg.dl	creatinin.mg.dL	glucose.mg.dL	albumin.g.dL	cholesterol.mg.dL	T4.ug.dL	aldosterone.pg.mL	copeptin.pmol.L	sodium.mEq.L	potassium.mEq.L	chloride.mEq.L	Osmolality.mOsm.Kg
VZ01	Vulpes zerda	d2	d	captive	Adult	M	Mohammedia	Morocco	33.6179	-7.3793		225	90	102	410	1110	1.11	6.6	53.9	0.3	0.71	5	2.95	106.5	0.8	16	9.5				
VZ02	Vulpes zerda	d2	d	captive	Adult	M	Mohammedia	Morocco	33.6179	-7.3793		235	92	100	385	1090	1.09	7.35	33.2	0.8	0.2	10	1.52	44.4	0.74	82	9.32				
VZ03	Vulpes zerda	d2	d	captive	Adult	F	Mohammedia	Morocco	33.6179	-7.3793		230	98	104	390	1135	1.135	7.46	36.4	0.8	0.2	10	0.9	26.4	1.14	24	17.93				
VZ04	Vulpes zerda	d2	d	captive	Adult	M	Mohammedia	Morocco	33.6179	-7.3793		245	102	107	375	1180	1.18	8.39	32.1	0.3	0.32	5	2.53	106.1	2.85	17	20.53				
VZ05	Vulpes zerda	d2	d	captive	Adult	M	Mohammedia	Morocco	33.6179	-7.3793		225	100	98	375	1070	1.07	7.61	24	0.3	0.1	5	1.02	38.2	1.09	38	8.32				
VZ06	Vulpes zerda	d2	d	captive	Adult 	M	Madrid	Morocco	40.4274	-3.7173		220	70	100	390	1389	1.389	9.13	28	0.4	0.1	5	1.55	40.5	1.1	28	15.32				
VZ07	Vulpes zerda	d2	d	captive	Adult 	F	Madrid	Morocco	40.4274	-3.7173		220	70	104	350	1165	1.165	9.51	120.3	0.3	1.56	122.8	2.19	168.9	2.16	39	6.64				
VZ08	Vulpes zerda	d2	d	captive	Adult	M	Temara	Morocco	33.9552	-6.8944		215	100	102	405	1500	1.5	9.14	29.7	0.3	0.1	91.3	0.82	15.2	1.06	24	11.12				
VZ09	Vulpes zerda	d2	d	captive	Adult	M	Temara	Morocco	33.9552	-6.8944		180	82	100	385	1300	1.3	8.77	36.8	0.8	0.2	44	1.1	53.2	0.76	56	8.57				
VZ10	Vulpes zerda	d2	d	captive	Adult	M	Temara	Morocco	33.9552	-6.8944		240	95	98	400	1450	1.45	9.06	40.2	0.8	0.2	50	1.64	51.8	0.74	78	22.9				
VR01	Vulpes rueppellii	d1	d	wild	Adult	F	Oued Jenna	Morocco	22.7314	-14.4863	Tomahawk	355	105	80.2	445	1500	1.5	7.57	52.4	0.7	0.13	37.9	1.73	96.5	3.34	20	15.71				
