ID,Species,Region,Latitude,Longitude
2790,V. vulpes,Europe,37.907917,-1.458750
2794,V. vulpes,Europe,38.848530,22.512560
VV07,V. vulpes,Europe,41.971030,-8.519680
VV10,V. vulpes,Europe,41.096810,-8.555830
VV11,V. vulpes,Europe,41.096810,-8.555830
5705,V. vulpes,Middle East,30.902100,32.416130
5706,V. vulpes,Middle East,40.384038,43.834110
8047,V. vulpes,Middle East,28.035278,57.758889
8050,V. vulpes,Middle East,26.268333,59.771111
8645,V. vulpes,Middle East,31.315148,54.836722
8953,V. vulpes,Middle East,36.328800,49.772400
10470,V. vulpes,Middle East,26.758595,55.733797
10476,V. vulpes,Middle East,31.281797,51.234397
11464,V. vulpes,Middle East,35.229194,47.568722
11466,V. vulpes,Middle East,26.529611,59.946083
11469,V. vulpes,Middle East,26.754917,60.242972
11470,V. vulpes,Middle East,37.325833,49.630833
305,V. vulpes,North Africa,36.754617,9.195733
707,V. vulpes,North Africa,31.200967,-7.855367
1092,V. vulpes,North Africa,30.765767,-7.287750
1446,V. vulpes,North Africa,28.844400,-10.235870
1515,V. vulpes,North Africa,33.891800,0.268567
3642,V. vulpes,North Africa,32.316932,-4.547100
3643,V. vulpes,North Africa,34.935200,-2.879440
5627,V. vulpes,Middle East,37.423177,31.658337
5701,V. vulpes,North Africa,31.217880,-7.842580
5710,V. vulpes,North Africa,28.799507,-10.418638
6588,V. vulpes,North Africa,30.559390,-7.989360
6589,V. vulpes,North Africa,30.599630,-8.082460
6820,V. vulpes,North Africa,36.490050,8.369940
6824,V. vulpes,North Africa,35.828260,8.560410
6891,V. vulpes,North Africa,34.741630,-2.372670
7024,V. vulpes,North Africa,32.062840,-4.404480
8030,V. vulpes,North Africa,29.685340,-8.190190
8079,V. vulpes,North Africa,29.078580,-9.270150
8522,V. vulpes,North Africa,30.611292,-8.248400
9053,V. vulpes,North Africa,35.099970,-2.327330
9055,V. vulpes,North Africa,33.466230,-1.944250
10185,V. vulpes,North Africa,34.649159,-2.437090
10608,V. vulpes,North Africa,28.753839,-10.481989
12146,V. vulpes,North Africa,27.770200,-11.541000
12238,V. vulpes,North Africa,28.089210,-11.058380
13451,V. vulpes,North Africa,30.454861,-7.477574
VV01,V. vulpes,North Africa,28.521200,-9.855290
VV02,V. vulpes,North Africa,33.955220,-6.894380
VV03,V. vulpes,North Africa,33.955220,-6.894380
VV04,V. vulpes,North Africa,33.955220,-6.894380
VV05,V. vulpes,North Africa,33.233340,-8.030600
VV12,V. vulpes,North Africa,26.485102,-13.935671
468,V. pallida,V. pallida,15.356267,-13.075550
968,V. pallida,V. pallida,16.514817,-10.779683
1001,V. pallida,V. pallida,17.347933,-12.432883
3483,V. pallida,V. pallida,17.126187,-14.065450
10358,V. pallida,V. pallida,14.991887,-16.751232
84,V. rueppellii,V. rueppellii,17.039750,-11.967483
131,V. rueppellii,V. rueppellii,17.339167,-14.388583
542,V. rueppellii,V. rueppellii,23.091183,-16.077217
785,V. rueppellii,V. rueppellii,21.807950,-16.882150
795,V. rueppellii,V. rueppellii,21.806583,-16.882400
2782,V. rueppellii,V. rueppellii,24.730292,-14.874280
3213,V. rueppellii,V. rueppellii,17.333602,-12.077818
4964,V. rueppellii,V. rueppellii,17.444500,-13.303700
5704,V. rueppellii,V. rueppellii,29.783490,25.808140
6010,V. rueppellii,V. rueppellii,17.840183,-12.410738
7367,V. rueppellii,V. rueppellii,19.911548,-15.926908
7902,V. rueppellii,V. rueppellii,17.530940,-12.753980
VR01,V. rueppellii,V. rueppellii,22.731420,-14.486330
VR02,V. rueppellii,V. rueppellii,22.748940,-14.486890
VR03,V. rueppellii,V. rueppellii,22.771750,-14.473110
VR04,V. rueppellii,V. rueppellii,22.709080,-14.487920
VR05,V. rueppellii,V. rueppellii,22.698500,-14.486810
VR06,V. rueppellii,V. rueppellii,22.731420,-14.486330
VR07,V. rueppellii,V. rueppellii,23.247030,-15.111080
VR08,V. rueppellii,V. rueppellii,23.239170,-15.116580
VR09,V. rueppellii,V. rueppellii,23.259780,-15.137530
VR10,V. rueppellii,V. rueppellii,23.222310,-15.107610
VR11,V. rueppellii,V. rueppellii,23.246670,-15.127670
VR12,V. rueppellii,V. rueppellii,23.254500,-15.128060
VR13,V. rueppellii,V. rueppellii,23.246670,-15.127670
VR14,V. rueppellii,V. rueppellii,23.079719,-14.902286
VZ01,V. zerda,V. zerda,32.989000,9.622000
VZ02,V. zerda,V. zerda,32.989000,9.622000
VZ03,V. zerda,V. zerda,32.989000,9.622000
VZ05,V. zerda,V. zerda,33.420000,9.083000
VZ07,V. zerda,V. zerda,33.420000,9.083000
